,index,Feature name,Coefficients,p_values,Original feature name,Score-Calculations,Score-Preliminary,Difference,Score-Final
0,0,Intercept,3.1676252011172443,,Intercept,461.79184920616353,462.0,-0.20815079383646662,462.0
1,1,grade:A,2.9942622253351177,1.4353823204025138e-19,grade,219.64551299039303,220.0,-0.3544870096069701,220.0
2,2,grade:B,2.4288968616965283,7.973043874410738e-17,grade,178.1728709910772,178.0,0.17287099107718973,178.0
3,3,grade:C,1.9255180677703398,2.8648857851013203e-11,grade,141.24728294975975,141.0,0.24728294975975018,141.0
4,4,grade:D,1.4515847721196584,5.427920543426253e-07,grade,106.48168327527868,106.0,0.4816832752786837,106.0
5,5,grade:E,0.9346454552610196,0.0014744659394757258,grade,68.5613567001367,69.0,-0.4386432998633012,69.0
6,6,grade:F,0.11638242375767421,0.7154532449040426,grade,8.537287400223827,9.0,-0.4627125997761734,9.0
7,7,home_ownership:OWN,-0.119639232268649,0.14576617359731128,home_ownership,-8.776192119407023,-9.0,0.22380788059297707,-8.0
8,8,home_ownership:MORTGAGE,0.2079169060614279,0.0006139328178171741,home_ownership,15.251842375337226,15.0,0.2518423753372261,15.0
9,9,term:60,0.2751985251079194,6.143141384510188e-06,term,20.187317166172175,20.0,0.18731716617217486,20.0
10,10,purpose:homeImprovement_house_majorPurchase_medical_moving,-0.39658020369074376,1.2964980708873437e-07,purpose,-29.091327253991242,-29.0,-0.09132725399124197,-29.0
11,11,purpose:renewableEnergy_smallBusiness_vacation,-0.29493889295527104,0.09193641132245309,purpose,-21.635381128561217,-22.0,0.3646188714387826,-22.0
12,12,emp_length:1,-0.022268801905236973,0.8320442853693945,emp_length,-1.6335384311939443,-2.0,0.36646156880605574,-2.0
13,13,emp_length:2-4,0.031028104302772523,0.6415698571055923,emp_length,2.276081175869337,2.0,0.2760811758693369,2.0
14,14,emp_length:5,-0.019413858167173764,0.8612141720902763,emp_length,-1.4241126913239428,-1.0,-0.4241126913239428,-1.0
15,15,emp_length:6,0.23119841917620407,0.11406627757467368,emp_length,16.959668713331137,17.0,-0.04033128666886299,17.0
16,16,mths_since_earliest_cr_line:48-128,-0.10442984729516257,0.13050989703930185,mths_since_earliest_cr_line,-7.660500535515797,-8.0,0.3394994644842031,-8.0
17,17,int_rate:5.824-7.878,0.07395031298572256,0.9155565536668343,int_rate,5.424659969362321,5.0,0.4246599693623212,5.0
18,18,int_rate:7.878-8.392,0.4294983156413732,0.5881322628214689,int_rate,31.506050829265938,32.0,-0.4939491707340622,32.0
19,19,int_rate:8.392-8.905,-0.3910185709547287,0.5586011701238348,int_rate,-28.683351070399148,-29.0,0.3166489296008521,-29.0
20,20,funded_amnt_factor:4900-5680,0.19106890470266005,0.30774429888741817,funded_amnt_factor,14.015949316273158,14.0,0.015949316273157876,14.0
21,21,funded_amnt_factor:4900-6460,0.07422443862606538,0.6105485918751393,funded_amnt_factor,5.444768584562241,5.0,0.4447685845622411,5.0
22,22,addr_state:DC_DE,0.24434455055933266,0.5430030031053579,addr_state,17.92400936027071,18.0,-0.07599063972929088,18.0
23,23,addr_state:HI_ID,0.37473221603172385,0.25747470305748976,addr_state,27.488657849632,27.0,0.48865784963199843,27.0
24,24,addr_state:KS_KY_LA,0.487080172637373,0.014258612403189106,addr_state,35.72999501552047,36.0,-0.27000498447952737,36.0
25,25,addr_state:MA_MD,-0.05284555791556145,0.6681330581369727,addr_state,-3.876510740914795,-4.0,0.12348925908520503,-4.0
26,26,addr_state:ME_MI_MN_MO_MS_MT,-0.03463559470491498,0.7397907147270658,addr_state,-2.540710330016922,-3.0,0.45928966998307796,-3.0
27,27,addr_state:NC_NE_ND_NH_NJ_NM_NV,0.038247498015736806,0.6804648352945151,addr_state,2.8056631951549673,3.0,-0.19433680484503268,3.0
28,28,addr_state:OH_OK_OR_PA_RI_SC_SD_TN,0.2825566506484797,0.0023664674600169847,addr_state,20.72707592388191,21.0,-0.2729240761180911,21.0
29,29,addr_state:UT_VA_VT_WA_WI,-0.026191423580037582,0.8037328514957043,addr_state,-1.92128418797461,-2.0,0.07871581202538991,-2.0
30,30,addr_state:WV_WY,1.0159957398444461,0.045000417010684045,addr_state,74.52884506440024,75.0,-0.4711549355997562,75.0
31,31,annual_inc:5K-10K,-0.09081566260920255,0.842394270403295,annual_inc,-6.661825618538889,-7.0,0.3381743814611111,-7.0
32,32,annual_inc:10K-15K,-0.21066302770773293,0.3874175299671997,annual_inc,-15.453285419514556,-15.0,-0.4532854195145557,-15.0
33,33,annual_inc:15K-20K,-0.088179131440688,0.6567811353050204,annual_inc,-6.468421635372809,-6.0,-0.4684216353728088,-6.0
34,34,annual_inc:20K-25K,0.15421862121054553,0.38068991776601635,annual_inc,11.312779449258246,11.0,0.31277944925824563,11.0
35,35,annual_inc:>25K,-0.38761199876891683,0.4769935271594671,annual_inc,-28.433460366451964,-28.0,-0.43346036645196406,-28.0
36,36,mths_since_last_delinq:Missing,0.12295937359167795,0.6552359640933765,mths_since_last_delinq,9.019742646787995,9.0,0.019742646787994644,9.0
37,37,mths_since_last_delinq:4-8,0.07054978370590159,0.8214429217027401,mths_since_last_delinq,5.175212545624564,5.0,0.17521254562456434,5.0
38,38,mths_since_last_delinq:8-15,0.19143072201832517,0.5152521285920437,mths_since_last_delinq,14.042490595535757,14.0,0.042490595535756626,14.0
39,39,mths_since_last_delinq:15-20,0.0963855056644046,0.7493392319927883,mths_since_last_delinq,7.070404073954199,7.0,0.07040407395419912,7.0
40,40,mths_since_last_delinq:>20,0.1921610827931981,0.48664946590908487,mths_since_last_delinq,14.09606655348215,14.0,0.09606655348214943,14.0
41,41,dti:0.10-0.23,-0.7311924884705149,0.42155553105800936,dti,-53.63696868828968,-54.0,0.36303131171032277,-54.0
42,0,grade:G,0.0,,grade,0.0,0.0,0.0,0.0
43,1,home_ownership:RENT_ANY,0.0,,home_ownership,0.0,0.0,0.0,0.0
44,2,addr_state:AK_AL_AR_AZ_CA_CO,0.0,,addr_state,0.0,0.0,0.0,0.0
45,3,term:36,0.0,,term,0.0,0.0,0.0,0.0
46,4,emp_length:0,0.0,,emp_length,0.0,0.0,0.0,0.0
47,5,int_rate:<=5.824,0.0,,int_rate,0.0,0.0,0.0,0.0
48,6,funded_amnt_factor:961-4900,0.0,,funded_amnt_factor,0.0,0.0,0.0,0.0
49,7,addr_state:AK_AL_AR_AZ_CA_CO,0.0,,addr_state,0.0,0.0,0.0,0.0
50,8,annual_inc:<5K,0.0,,annual_inc,0.0,0.0,0.0,0.0
51,9,mths_since_last_delinq:<4,0.0,,mths_since_last_delinq,0.0,0.0,0.0,0.0
52,10,dti:0.00-0.10,0.0,,dti,0.0,0.0,0.0,0.0
